Time_Stamp,Latitude,Longitude,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Index
1697515170900.0,39.9492536,116.3393086,-1.2300211,9.303867,4.43885,0.18469009,0.030493172,0.032756858,4144
1697515170900.0,39.9492503,116.3392593,-1.2300211,9.303867,4.43885,0.18469009,0.030493172,0.032756858,4144
1697515170906.0,39.9492425,116.3392161,-1.2300211,9.303867,4.43885,0.18469009,0.030493172,0.032756858,4144
1697515170908.0,39.9492348,116.3391787,-1.2300211,9.303867,4.43885,0.18469009,0.030493172,0.032756858,4144
1697515170910.0,39.9492262,116.3391405,-1.2300211,9.303867,4.43885,0.18469009,0.030493172,0.032756858,4144
1697515170916.0,39.9492206,116.3390986,-1.0528502,8.9279785,3.7283707,0.3889544,0.013182637,0.14407691,4145
1697515170916.0,39.9492162,116.339055,-1.0528502,8.9279785,3.7283707,0.3889544,0.013182637,0.14407691,4145
1697515170916.0,39.9492073,116.3390103,-1.0528502,8.9279785,3.7283707,0.3889544,0.013182637,0.14407691,4145
1697515170916.0,39.9491967,116.3389649,-1.0528502,8.9279785,3.7283707,0.3889544,0.013182637,0.14407691,4145
1697515170916.0,39.9491873,116.3389177,-1.0528502,8.9279785,3.7283707,0.3889544,0.013182637,0.14407691,4145
1697515170916.0,39.9491761,116.3388697,-1.0528502,8.9279785,3.7283707,0.3889544,0.013182637,0.14407691,4145
1697515170919.0,39.9491647,116.3388234,-1.0528502,8.9279785,3.7283707,0.3889544,0.013182637,0.14407691,4145
1697515170924.0,39.9491539,116.3387799,-1.0528502,8.9279785,3.7283707,0.3889544,0.013182637,0.14407691,4145
1697515170930.0,39.9491447,116.3387397,-1.0528502,8.9279785,3.7283707,0.3889544,0.013182637,0.14407691,4145
1697515171706.0,39.9491308,116.3386662,0.6488287,8.038532,2.1320367,0.15459639,0.19028272,0.42810282,4184
1697515172690.0,39.9491232,116.338638,1.2144588,9.512163,1.7178397,0.413056,-0.078030564,0.012117374,4233
1697515173691.0,39.9491073,116.338595,0.21188685,9.572617,1.95307,0.20413114,-0.21957746,-0.023169484,4283
1697515209703.0,39.9490954,116.3385498,-0.42796355,9.46009,3.5009215,0.12996216,-0.1808285,-0.18761955,6082
1697515209736.0,39.9490929,116.3385034,-0.52133745,9.293094,3.532046,0.13329111,-0.17843166,-0.12783164,6083
1697515209737.0,39.9490968,116.3384608,-0.52133745,9.293094,3.532046,0.13329111,-0.17843166,-0.12783164,6083
1697515209744.0,39.9490986,116.3384214,-0.5710171,9.13388,3.663727,0.16644745,-0.1824264,-0.06617951,6084
1697515209751.0,39.9490968,116.3383827,-0.4782418,9.048885,3.6876693,0.21265325,-0.25459802,-0.013848428,6085
1697515209751.0,39.9490919,116.3383457,-0.4782418,9.048885,3.6876693,0.21265325,-0.25459802,-0.013848428,6085
1697515209758.0,39.9490866,116.3383143,-0.4782418,9.048885,3.6876693,0.21265325,-0.25459802,-0.013848428,6085
1697515209763.0,39.9490834,116.3382883,-0.4782418,9.048885,3.6876693,0.21265325,-0.25459802,-0.013848428,6085
1697515209763.0,39.9490781,116.3382669,-0.4782418,9.048885,3.6876693,0.21265325,-0.25459802,-0.013848428,6085
1697515209765.0,39.9490736,116.3382472,-0.4782418,9.048885,3.6876693,0.21265325,-0.25459802,-0.013848428,6085
1697515209769.0,39.9490671,116.3382267,-0.4782418,9.048885,3.6876693,0.21265325,-0.25459802,-0.013848428,6085
1697515209773.0,39.9490606,116.3382045,-0.21068975,9.062054,3.235165,0.21797957,-0.31571752,0.021438431,6086
1697515209775.0,39.9490551,116.3381818,-0.21068975,9.062054,3.235165,0.21797957,-0.31571752,0.021438431,6086
1697515209775.0,39.9490482,116.3381564,-0.21068975,9.062054,3.235165,0.21797957,-0.31571752,0.021438431,6086
1697515209780.0,39.9490395,116.3381265,-0.21068975,9.062054,3.235165,0.21797957,-0.31571752,0.021438431,6086
1697515209782.0,39.949032,116.3380952,-0.21068975,9.062054,3.235165,0.21797957,-0.31571752,0.021438431,6086
1697515209785.0,39.9490251,116.3380665,-0.21068975,9.062054,3.235165,0.21797957,-0.31571752,0.021438431,6086
1697515209789.0,39.9490121,116.3380146,-0.02813187,9.20391,2.9640217,0.18469009,-0.27750117,0.051665287,6087
1697515209791.0,39.9490022,116.3379881,-0.02813187,9.20391,2.9640217,0.18469009,-0.27750117,0.051665287,6087
1697515209793.0,39.9489872,116.3379641,-0.02813187,9.20391,2.9640217,0.18469009,-0.27750117,0.051665287,6087
1697515209793.0,39.9489671,116.3379475,-0.02813187,9.20391,2.9640217,0.18469009,-0.27750117,0.051665287,6087
1697515209794.0,39.9489444,116.3379431,-0.02813187,9.20391,2.9640217,0.18469009,-0.27750117,0.051665287,6087
1697515209796.0,39.9489199,116.3379494,-0.02813187,9.20391,2.9640217,0.18469009,-0.27750117,0.051665287,6087
1697515209798.0,39.9488939,116.337953,-0.02813187,9.20391,2.9640217,0.18469009,-0.27750117,0.051665287,6087
1697515209798.0,39.9488676,116.3379538,-0.02813187,9.20391,2.9640217,0.18469009,-0.27750117,0.051665287,6087
1697515209798.0,39.9488423,116.337951,-0.02813187,9.20391,2.9640217,0.18469009,-0.27750117,0.051665287,6087
1697515209801.0,39.9488156,116.3379535,-0.02813187,9.20391,2.9640217,0.18469009,-0.27750117,0.051665287,6087
1697515209803.0,39.9487854,116.3379628,-0.02813187,9.20391,2.9640217,0.18469009,-0.27750117,0.051665287,6087
1697515209803.0,39.9487508,116.3379698,-0.02813187,9.20391,2.9640217,0.18469009,-0.27750117,0.051665287,6087
1697515209805.0,39.9487119,116.3379742,-0.02813187,9.20391,2.9640217,0.18469009,-0.27750117,0.051665287,6087
1697515209805.0,39.948672,116.3379663,-0.02813187,9.20391,2.9640217,0.18469009,-0.27750117,0.051665287,6087
1697515209810.0,39.9486348,116.3379511,0.08738836,9.355343,2.867655,0.14021532,-0.2637859,0.061385818,6088
1697515209816.0,39.9486014,116.3379321,0.08738836,9.355343,2.867655,0.14021532,-0.2637859,0.061385818,6088
1697515209816.0,39.9485732,116.337904,0.08738836,9.355343,2.867655,0.14021532,-0.2637859,0.061385818,6088
1697515209819.0,39.9485455,116.3378761,0.08738836,9.355343,2.867655,0.14021532,-0.2637859,0.061385818,6088
1697515210691.0,39.9485209,116.3378498,0.073621705,9.543288,3.7247794,-0.2938796,0.1532648,0.07350319,6131
1697515211691.0,39.9484995,116.3378226,-0.30346507,9.687539,3.5631707,0.015845796,-0.03715107,0.13915007,6181
1697515212697.0,39.9484762,116.3378015,0.39743748,9.476849,3.342904,0.08934899,0.35779542,-0.117312156,6232
1697515245716.0,39.9484506,116.3377915,0.80205756,9.734824,2.6850972,-0.10319742,-0.06617951,-0.03315633,7881
1697515245788.0,39.9484284,116.3377846,0.5614403,9.561843,3.0292637,-0.018109482,-0.13062796,0.00013315796,7885
1697515245792.0,39.9484094,116.3377799,0.5614403,9.561843,3.0292637,-0.018109482,-0.13062796,0.00013315796,7885
1697515245792.0,39.9483936,116.3377718,0.5614403,9.561843,3.0292637,-0.018109482,-0.13062796,0.00013315796,7885
1697515245792.0,39.9483817,116.3377612,0.5614403,9.561843,3.0292637,-0.018109482,-0.13062796,0.00013315796,7885
1697515245792.0,39.9483726,116.337745,0.5614403,9.561843,3.0292637,-0.018109482,-0.13062796,0.00013315796,7885
1697515245792.0,39.9483689,116.337724,0.5614403,9.561843,3.0292637,-0.018109482,-0.13062796,0.00013315796,7885
1697515245796.0,39.948363,116.3377024,0.5614403,9.561843,3.0292637,-0.018109482,-0.13062796,0.00013315796,7885
1697515245799.0,39.9483556,116.3376748,0.59615624,9.450513,3.0418332,0.018775271,-0.16391744,0.009054741,7886
1697515245801.0,39.9483497,116.3376393,0.59615624,9.450513,3.0418332,0.018775271,-0.16391744,0.009054741,7886
1697515245803.0,39.9483479,116.3375963,0.59615624,9.450513,3.0418332,0.018775271,-0.16391744,0.009054741,7886
1697515245805.0,39.9483471,116.3375501,0.59615624,9.450513,3.0418332,0.018775271,-0.16391744,0.009054741,7886
1697515245809.0,39.9483389,116.3375009,0.59615624,9.450513,3.0418332,0.018775271,-0.16391744,0.009054741,7886
1697515245810.0,39.9483239,116.3374503,0.59615624,9.450513,3.0418332,0.018775271,-0.16391744,0.009054741,7886
1697515245812.0,39.9483094,116.3374006,0.59615624,9.450513,3.0418332,0.018775271,-0.16391744,0.009054741,7886
1697515245814.0,39.9482992,116.3373511,0.59615624,9.450513,3.0418332,0.018775271,-0.16391744,0.009054741,7886
1697515245816.0,39.9482918,116.3373088,0.59615624,9.450513,3.0418332,0.018775271,-0.16391744,0.009054741,7886
1697515245818.0,39.9482899,116.337278,0.65660983,9.41041,2.9179332,0.056858446,-0.19241324,0.014514217,7887
1697515245820.0,39.9482932,116.3372497,0.65660983,9.41041,2.9179332,0.056858446,-0.19241324,0.014514217,7887
1697515245822.0,39.9482962,116.3372224,0.65660983,9.41041,2.9179332,0.056858446,-0.19241324,0.014514217,7887
1697515245822.0,39.9482937,116.3371984,0.65660983,9.41041,2.9179332,0.056858446,-0.19241324,0.014514217,7887
1697515245825.0,39.948289,116.3371777,0.65660983,9.41041,2.9179332,0.056858446,-0.19241324,0.014514217,7887
1697515245830.0,39.9482832,116.3371606,0.65660983,9.41041,2.9179332,0.056858446,-0.19241324,0.014514217,7887
1697515245830.0,39.9482776,116.3371367,0.65660983,9.41041,2.9179332,0.056858446,-0.19241324,0.014514217,7887
1697515245830.0,39.9482707,116.3371094,0.65660983,9.41041,2.9179332,0.056858446,-0.19241324,0.014514217,7887
1697515245833.0,39.9482713,116.3370722,0.65660983,9.41041,2.9179332,0.056858446,-0.19241324,0.014514217,7887
1697515245833.0,39.9482707,116.3370413,0.65660983,9.41041,2.9179332,0.056858446,-0.19241324,0.014514217,7887
1697515245835.0,39.9482724,116.3370104,0.65660983,9.41041,2.9179332,0.056858446,-0.19241324,0.014514217,7887
1697515245838.0,39.9482748,116.3369783,0.76554596,9.416994,2.5252843,0.05339634,-0.22703432,0.02929475,7888
1697515245842.0,39.9482772,116.3369489,0.76554596,9.416994,2.5252843,0.05339634,-0.22703432,0.02929475,7888
1697515245847.0,39.9482686,116.3369288,0.76554596,9.416994,2.5252843,0.05339634,-0.22703432,0.02929475,7888
1697515245853.0,39.94826,116.3369037,0.76554596,9.416994,2.5252843,0.05339634,-0.22703432,0.02929475,7888
1697515245868.0,39.9482517,116.3368731,0.96067345,9.341577,2.2110453,-0.0126500055,-0.23089589,0.03195791,7889
1697515246694.0,39.9482473,116.3368335,0.88166475,9.524135,2.7012582,-0.20706062,0.2210422,0.2134522,7930
1697515247705.0,39.9482424,116.3367914,1.3652935,9.494805,2.190096,-0.09028109,0.09653952,-0.14540848,7981
1697515248702.0,39.9482342,116.3367458,0.8403648,9.174581,3.5511997,0.13821796,0.05419529,0.115048476,8031
1697515282768.0,39.9482154,116.3366478,-1.2689269,9.515156,4.219182,0.47603968,-0.1330248,0.021438431,9732
1697515282771.0,39.9482022,116.3365954,-0.54288524,9.812037,3.0867245,0.5069323,-0.40706387,0.08255793,9733
1697515282771.0,39.9481909,116.3365398,-0.54288524,9.812037,3.0867245,0.5069323,-0.40706387,0.08255793,9733
1697515282799.0,39.9481802,116.3364834,0.5422867,10.479421,1.5424645,0.41478702,-0.4944155,0.1038632,9734
1697515282807.0,39.9481685,116.3364235,0.5422867,10.479421,1.5424645,0.41478702,-0.4944155,0.1038632,9734
1697515282807.0,39.9481584,116.3363596,0.5422867,10.479421,1.5424645,0.41478702,-0.4944155,0.1038632,9734
